"","ASV","domain","phylum","class","order","family","genus","species","W","detected_0.9","detected_0.8","DESeq2_log2FoldChange"
"1","1014","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium;s",268,TRUE,TRUE,0.166087669054608
"2","1017","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium;s",233,FALSE,TRUE,0.50252563316812
"3","1030","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium;s",271,TRUE,TRUE,1.32974715326967
"4","1032","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium;s",229,FALSE,TRUE,1.12927075791853
"5","1060","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Lawsonella","Lawsonella;s",273,TRUE,TRUE,0.0120062138276763
"6","1491","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Dolosigranulum","Dolosigranulum;s",260,TRUE,TRUE,-0.715882914754236
"7","1535","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales;f","Finegoldia","Finegoldia;s",265,TRUE,TRUE,0.424976169206779
"8","1593","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales;f","Anaerococcus","Anaerococcus;s",231,FALSE,TRUE,0.1743039431272
"9","1618","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales;f","Peptoniphilus","Peptoniphilus;s",271,TRUE,TRUE,0.869411497335506
